abortion[名],妊娠中絶,,,,,,,,
 absolute[形],全くの、絶対の、完全な,,,,,,,,
 academic year[名],学年度,,,,,,,,
 acceptance[名],承諾、引き受け、容認,,,,,,,,
 accidentally[副],誤って、偶然に,,,,,,,,
 acid[名],酸,,,,,,,,
 adapt[動],適応する、適応させる,,,,,,,,
 adopt[動],採用する、導入する,,,,,,,,
 advertise[動],宣伝する、広告する,,,,,,,,
 advertising[名],広告,,,,,,,,
 agency[名],代理店,,,,,,,,
 alarm[動],～をぎょっとさせる、おびえさせる、不安にさせる,,,,,,,,
 alternative[形],代わりの、代替の、二者択一の,,,,,,,,
 ambassador[名],大使,,,,,,,,
 ambition[名],熱望、野心,,,,,,,,
 ancestor[名],祖先、先祖,,,,,,,,
 antique[名],骨董品,,,,,,,,
 appealing[形],魅力的な,,,,,,,,
 ashamed[形],恥じている,,,,,,,,
 aspect[名],様相、側面,,,,,,,,
 asset[名],資産、財産,,,,,,,,0
 astonish[動],驚かせる、仰天させる,,,,,,,,
 atmosphere[名],大気、大気圏,,,,,,,,
 authentic[形],真正な、本物の,,,,,,,,
 awkward[形],不格好な、ぎこちない、気まずい,,,,,,,,
 background[名],背景、経歴,,,,,,,,
 badminton[名],バドミントン,,,,,,,,
 bankrupt[形],破産した,,,,,,,,
 bat[名],コウモリ,,,,,,,,
 battery[名],電池、バッテリー,,,,,,,,
 bear[動],生む（産む）、（花や果実を）実らせる、（心などに）抱く、持つ,,,,,,,,
 beforehand[副],前もって、あらかじめ,,,,,,,,
 belong[動],所属している,,,,,,,,
 bloom[動],（花が）咲く、栄える,,,,,,,,0
 branch[名],枝、支流,,,,,,,,
 brand[名],ブランド、銘柄,,,,,,,,
 budget[名],予算,,,,,,,,
 bunch[名],束、房,,,,,,,,
 burden[名],重荷、負担,,,,,,,,
 bush[名],茂み、低木,,,,,,,,
 calm[形],冷静な、穏やかな,,,,,,,,
 capital[形],主要な、極めて重要な,,,,,,,,
 Catholic[形],カトリックの,,,,,,,,
 character[名],（小説などの）登場人物、キャラクター,,,,,,,,
 class[名],部類、種類,,,,,,,,
 click[動],カチッと音をたてる、（マウスで）クリックする,,,,,,,,
 clue[名],手がかり、糸口、端緒,,,,,,,,
 collar[名],襟,,,,,,,,
 colonist[名],植民者,,,,,,,,
 comet[名],彗星,,,,,,,,
 comfort[動],元気づける、慰める,,,,,,,,
 commercially[副],商業的に（は）、営利的に（は）,,,,,,,,
 communism[名],共産主義,,,,,,,,
 commute[動],通勤（通学）する,,,,,,,,
 complicated[形],複雑な,,,,,,,,
 concentrate[動],集中する、凝縮する、終結する、濃縮する,,,,,,,,
 concentration[名],集中,,,,,,,,
 concrete[形],具体的な,,,,,,,,
 confuse[動],混乱させる、混同する,,,,,,,,
 consist[動],（後ろにof ～を置いて）～から成る、成り立つ,,,,,,,,
 consume[動],消費する,,,,,,,,
 contribute[動],与える、貢献する,,,,,,,,
 convention[名],慣習、しきたり,,,,,,,,
 cooperation[名],協力,,,,,,,,
 countryside[名],田園地帯、田舎,,,,,,,,
 crab[名],カニ,,,,,,,,
 critic[名],評論家、批評家、批判する人,,,,,,,,
 critical[形],批判的な,,,,,,,,
 crystal[名],結晶、水晶,,,,,,,,
 damaging[形],損害を与える、不利な,,,,,,,,
 damp[形],湿った,,,,,,,,0
 daring[形],大胆不敵な、無鉄砲な,,,,,,,,0
 definition[名],定義,,,,,,,,
 delegate[名],代表、使節,,,,,,,,0
 delight[名],喜び、楽しみ,,,,,,,,
 dental[形],歯の、歯科（用）の,,,,,,,,
 departure[名],出発,,,,,,,,
 depression[名],不況,,,,,,,,
 desirable[形],望ましい,,,,,,,,
 diligent[形],勤勉な,,,,,,,,
 disaster[名],大惨事、大災害,,,,,,,,
 discount[動],割引する、軽視する,,,,,,,,
 disease[名],病気、疾病,,,,,,,,
 dismiss[動],解散させる、散会させる,,,,,,,,0
 dispute[名],論争,,,,,,,,
 distinction[名],区別、相違点,,,,,,,,
 disturbance[名],混乱、騒動,,,,,,,,
 dizzy[形],めまいがする,,,,,,,,
 domesticate[動],飼いならす、家畜化する,,,,,,,,
 earnest[形],まじめな、熱心な、本気の,,,,,,,,
 economically[副],経済的に,,,,,,,,
 economics[名],経済学,,,,,,,,
 educate[動],教育する,,,,,,,,
 effectively[副],効果的に、事実上,,,,,,,,
 efficiently[副],能率的に、効果的に,,,,,,,,
 elementary[形],初級の、初歩の、基本的な、小学校の,,,,,,,,
 emphasis[名],強調、重点,,,,,,,,
 emphasize[動],強調する,,,,,,,,
 endurance[名],忍耐（力）、耐久力、持久力,,,,,,,,
 enhance[動],（価値、能力などを）高める、向上させる,,,,,,,,
enormously[副],非常に、極端に,,,,,,,,
 entirely[副],全く、完全に,,,,,,,,
 entitle[動],権利/資格を与える,,,,,,,,
 equally[副],同程度に、等しく,,,,,,,,
 era[名],時代、年代,,,,,,,,
 essay[名],小論文、随筆、エッセー,,,,,,,,
 estate[名],財産、地所,,,,,,,,
 everywhere[副],どこでも、いたるところに,,,,,,,,
 evolution[名],進化、発展,,,,,,,,
 executive[形],行政権のある、管理職の,,,,,,,,
 explorer[名],探検家,,,,,,,,
 exposure[名],（自然環境や危険に）さらされていること,,,,,,,,0
 extensively[副],広く,,,,,,,,
 extremely[副],極めて、極度に,,,,,,,,
 fable[名],寓話,,,,,,,,
 fairly[副],かなり、相当（に）,,,,,,,,0
 fairly[副],公平に,,,,,,,,
 famine[名],飢饉,,,,,,,,
 fancy[形],装飾された、しゃれた,,,,,,,,
 fantastic[形],すばらしい,,,,,,,,
 fault[名],（過失の）責任、過ち,,,,,,,,
 feminist[名],女権論者、フェミニスト,,,,,,,,
 fever[名],熱,,,,,,,,
 fireplace[名],暖炉,,,,,,,,
 flashlight[名],懐中電灯,,,,,,,,
 flatter[動],お世辞を言う、お世辞を言う、実物以上によく見せる,,,,,,,,0
 flock[名],（鳥、ヒツジなどの）群れ,,,,,,,,
 foggy[形],霧のかかった、霧の深い,,,,,,,,
